"growth","growthRate","population","year"
11171,0.0040901315461876475,2742379,2022
9723,0.0035726818262822313,2731208,2021
8373,0.003086123978663702,2721485,2020
7321,0.002705678302574066,2713112,2019
6732,0.0024942026091314684,2705791,2018
6715,0.002494109222298535,2699059,2017
6716,0.0025007186401095893,2692344,2016
6691,0.002497632456455623,2685628,2015
6674,0.002497508665876058,2678937,2014
6648,0.002493983564768376,2672263,2013
6649,0.0025005960963773166,2665615,2012
5105,0.0019236124273276367,2658966,2011
3501,0.0013209526253037396,2653861,2010
3491,0.0013189168032117227,2650360,2009
3496,0.0013225526628288797,2646869,2008
3487,0.0013208903717811804,2643373,2007
3482,0.0013207383997293487,2639886,2006
3473,0.001319062292175488,2636404,2005
3478,0.001322708563340047,2632931,2004
3468,0.001320647299965616,2629453,2003
-4309,-0.0016382199100176686,2625985,2002
-12067,-0.004566749206486143,2630294,2001
-12155,-0.004578989164126357,2642361,2000
-12195,-0.004573048973060878,2654516,1999
-12250,-0.004572668284458015,2666711,1998
-12290,-0.004566649487543151,2678961,1997
-12380,-0.004579027241513378,2691251,1996
-12420,-0.004572815458914414,2703631,1995
-12477,-0.0045727952947522965,2716051,1994
-12517,-0.004566506569574691,2728528,1993
-12610,-0.004579368148878493,2741045,1992
16384,0.005985523537859416,2753655,1991
49743,0.018508830419627254,2737271,1990
48772,0.018482951815173454,2687528,1989
48018,0.018534487084375106,2638756,1988
47081,0.018509177927684473,2590738,1987
46224,0.0185086046352394,2543657,1986
45323,0.01848326543262746,2497433,1985
44621,0.01853424875461518,2452110,1984
43751,0.01850924256410824,2407489,1983
42955,0.01850883947357418,2363738,1982
73851,0.032867483306125767,2320783,1981
102993,0.04803914663616826,2246932,1980
98139,0.04797096490370523,2143939,1979
93648,0.04797167433683436,2045800,1978
89241,0.04790405982894508,1952152,1977
85390,0.04803881360614026,1862911,1976
81367,0.047971469571748804,1777521,1975
77642,0.04797122295046319,1696154,1974
73989,0.047904110201013594,1618512,1973
70796,0.04803874801778085,1544523,1972
67461,0.04797172085508716,1473727,1971
64372,0.04797100218049999,1406266,1970
61344,0.047904416071219424,1341894,1969
58696,0.048038472681678934,1280550,1968
55931,0.047971435506461324,1221854,1967
53371,0.04797169031200332,1165923,1966
50859,0.04790367837030107,1112552,1965
48665,0.04803914600583603,1061693,1964
46372,0.04797156382415246,1013028,1963
44249,0.04797123178813689,966656,1962
42167,0.04790398073252744,922407,1961
40347,0.04803826201670924,880240,1960
38447,0.047972040536729876,839893,1959
36687,0.04797197548508736,801446,1958
34960,0.047903600854481754,764759,1957
33452,0.0480392677788517,729799,1956
31875,0.047970418618090704,696347,1955
30417,0.04797217906963902,664472,1954
28985,0.047903548349777614,634055,1953
27735,0.048039699654446766,605070,1952
26427,0.04796989697009302,577335,1951
0,0,550908,1950
